username,rating,text,date,city,company,ct
"{'name': 'Ashish Rajbhar', 'link': 'https://www.google.com/maps/contrib/109357254158172701219?hl=en-US', 'contributor_id': '109357254158172701219', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJkgDuYEmoewESs0S1qUnuOGSxa2_Gdl7gU3I7VeNknwD_QcA=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",5.0,"""Webking Solutions has been an absolute pleasure to work with! The team is incredibly supportive and always responds promptly to any queries. Their professionalism shines through in every interaction, making the entire process smooth and efficient.
Highly recommend their services!""",3 months ago,Ahmehdabad,Google,
"{'name': 'Mohideen Shaikh', 'link': 'https://www.google.com/maps/contrib/107916161111881445795?hl=en-US', 'contributor_id': '107916161111881445795', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXfpsqS7HySFcumNOAaSANj2faLlHhyRdSBk1_u9DkpHlnqbIzCWA=s120-c-rp-mo-br100', 'reviews': 7, 'photos': 0}",5.0,Very professional team and outstanding service with quick turnaround support at any given point of time. A very reliable company. I would recommend Webking any time. Bhavesh specifically really leads the organisation to its best.,4 months ago,Ahmehdabad,Google,
"{'name': 'Tanmay Patel', 'link': 'https://www.google.com/maps/contrib/107448716200252716087?hl=en-US', 'contributor_id': '107448716200252716087', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIlGrAlg7GgJmNJTAnM0g6c0rKftMZkIAfpB_0IzS18rjzX5g=s120-c-rp-mo-br100', 'reviews': 6, 'photos': 1}",5.0,"Thank you So much for your response.
Best service always.  Thanks ones again.",a week ago,Ahmehdabad,Google,
"{'name': 'Amit Joshi', 'link': 'https://www.google.com/maps/contrib/104199302676436747694?hl=en-US', 'contributor_id': '104199302676436747694', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjU_UIipaHzXVmPwLW_mN6UajT8pVpmwg8x4uTtOn8Q_WoLDHzpu=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 0}",5.0,Excellent and professional service. Have in-depth subject knowledge and ever ready to support.,4 months ago,Ahmehdabad,Google,
"{'name': 'kriti pal', 'link': 'https://www.google.com/maps/contrib/103247564969400182222?hl=en-US', 'contributor_id': '103247564969400182222', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWnxfoamEx90Av4gMxCSRa4rFaUZ2f9q6cEjE9duEnreEQ0rQ50=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 9}",4.0,"Service: New Email ID Creation.
Provided cooperative and prompt service.

Thank you, Webking Solutions.",5 months ago,Ahmehdabad,Google,
"{'name': 'Raj Patel', 'link': 'https://www.google.com/maps/contrib/105162669157861751998?hl=en-US', 'contributor_id': '105162669157861751998', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW4GBfFH2fMp0Q1-3h2mjpiOb2N5hONx2WvIGEg2SjkRdRIp_X3=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 51, 'photos': 125}",5.0,Best Infrastructure nd nice company to start your Carrier and One of the best networking compny of Gujarat....!!!,5 years ago,Ahmehdabad,Sophos,
"{'name': 'Krishna Patel', 'link': 'https://www.google.com/maps/contrib/114720534671127010471?hl=en-US', 'contributor_id': '114720534671127010471', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVHF3SabzjT7Ged7_wpO7_Hwqsqbci-ubRKHtHVToZ2f2jw-acm=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 35, 'photos': 35}",5.0,"Great IT company with best work culture and employees. Architecture and Interior is awesome. One can get knowledge from there. This is having it's own other houses at other different locations in India. It's having parking facility. Large conference hall, reception area. It's centrally air conditioning building with fire safety.",5 years ago,Ahmehdabad,Sophos,
"{'name': 'Hansal Pandya', 'link': 'https://www.google.com/maps/contrib/104083300577414972923?hl=en-US', 'contributor_id': '104083300577414972923', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVVKlIsr7x7PAZwbIs16AqlT0CZ_LMi8gidyXREIBOznyVeYkE_8w=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 289, 'photos': 359}",4.0,New Respected Security Company which have u keep safe....,7 years ago,Ahmehdabad,Sophos,
"{'name': 'Hemang Rami', 'link': 'https://www.google.com/maps/contrib/108487878797656138612?hl=en-US', 'contributor_id': '108487878797656138612', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVOf-WUNowVbFibyKLwvmXN9Dd5FV-IqScNpJEhTY0zy6Hlg9_h=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 148, 'photos': 97}",5.0,"one of the best company in Gujarat and it will set for Entry and middle and upper level of employee.
flexible hours that was good point .",6 years ago,Ahmehdabad,Sophos,
"{'name': 'Vinod Patel', 'link': 'https://www.google.com/maps/contrib/101414773185901759083?hl=en-US', 'contributor_id': '101414773185901759083', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW2PzSRqEdzVV1qfhhQAtuaY7zxwX6P6csfdGcwwgCa2SuQ6_sD5g=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 155, 'photos': 206}",5.0,"This building belongs to Sophos India Pvt. ltd. It was inaugurated on 14th Feb, 2015, when the company acquired a local company called Cyberoam.
The building is equipped with world class IT infrastructure. It produces one of the world's best UTM known as Sophos firewall.",8 years ago,Ahmehdabad,Sophos,
