username,rating,text,date,city,company
"{'name': 'Saanji Gogoi', 'link': 'https://www.google.com/maps/contrib/113212566423115751707?hl=en-US', 'contributor_id': '113212566423115751707', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWmHOAlJpQEUqBiER7U5WwPPSiXa5FX4_06m77MWOHHua5vLWwA=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 139, 'photos': 610}",4,Good place located in Yedwada commer zone.,6 years ago,Pune,NVIDIA
"{'name': 'Sahil Singh', 'link': 'https://www.google.com/maps/contrib/109003063549187697541?hl=en-US', 'contributor_id': '109003063549187697541', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVZC_IgGhu8fwlO9ZW33AIQNEji_3Bd8dTf42PH1f5YkYqrBBzN=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 180, 'photos': 2920}",5,"The culture over the place is what I really like about it. Mutual respect and trust, whether you are a new or an old employee. When I joined 2 years ago I felt that my views were listened to, and not dismissed for being new.
The salary and compensation correlates with your efforts, and there is no politics whatsoever. This is what makes it a great place to work. Focusing on work rather than politics is good for everybody, including the company.
This is not true for some of the other companies which I know, in which my friends work, and unfortunately not true for all teams in Nvidia.
The culture of your team would depend on the manager, and this can make it a truly pleasurable place to work with.
I have seen the unfairness my friends in other companies are subjected to (name any top tech company), this makes me feel even more thankful towards my team, for making it such a nice place to work.
We are engineers after all, and not politicians.
I am stressing office politics too much, because that is a reality in many places.
Not in my company, not in my team.",5 years ago,Pune,NVIDIA
"{'name': 'sajoy joseph', 'link': 'https://www.google.com/maps/contrib/101773463900083310121?hl=en-US', 'contributor_id': '101773463900083310121', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLS_hjMddiQ7KWrO2WHKvLl2WM_flzziHKj1ZJqr1C0_5pZbg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 53, 'photos': 3}",1,"Abhijit Nair, an employee of this firm scammed me by promising to deliver a graphic card. I gave him advance payment in goodwill, but didn't expect to get cheated. He has disappeared after taking the payment. If nvidia doesn't take some action I will have to look for another method.",a year ago,Pune,NVIDIA
"{'name': 'Tushar Kharade', 'link': 'https://www.google.com/maps/contrib/110858007908329880696?hl=en-US', 'contributor_id': '110858007908329880696', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVsZ92lvL7hTgFdTx4WCzOLTpgHYmf6e5pzNcnEo6boJDzMogFd=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 20, 'photos': 69}",5,Best environment,2 years ago,Pune,NVIDIA
"{'name': 'Hari Hud', 'link': 'https://www.google.com/maps/contrib/115877667376885671511?hl=en-US', 'contributor_id': '115877667376885671511', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXCtysCZyXa4ad2nsyvso-_jbI3Sef1Qw97UrKplDvnUrCjST6p=s120-c-rp-mo-br100', 'reviews': 4, 'photos': 4}",5,One of the best IT company in terms of everything!,a year ago,Pune,NVIDIA
"{'name': 'Rahul Hirole', 'link': 'https://www.google.com/maps/contrib/106613966186278586814?hl=en-US', 'contributor_id': '106613966186278586814', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVQ6u_OJX824P5dTH9ukWPNu18ivyaDWnUduepSXpW8rM4nHhvK=s120-c-rp-mo-br100', 'reviews': 181, 'photos': 0}",4,"High corporate culture present.
Cab pick and drop facility available.
Placed in separate tower.
Opens 24/7.",6 years ago,Pune,NVIDIA
"{'name': 'Vishal Kotian', 'link': 'https://www.google.com/maps/contrib/107342154334396850702?hl=en-US', 'contributor_id': '107342154334396850702', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVwVcoYOgBMHLbSRl5oFQFmLHk8RrjbZY0VUPixeGXhTuj86RDR=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 25, 'photos': 25}",5,If you are in Network Industry domain there's no better place to work than Cisco.,5 months ago,Pune,Cisco
"{'name': 'satees kumar', 'link': 'https://www.google.com/maps/contrib/113750960100880622248?hl=en-US', 'contributor_id': '113750960100880622248', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVt9W2Mf6YL-AqdrpK7pDM_gS0G_4xs1FseVfIpPWiTaId4sQtFiQ=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 213, 'photos': 123}",5,"A great place to work.
They have a nice office with plenty of facilities like Indoor games (Pool table, table tennis Carrom, Foosball etc).
A small garden and indoor parking.
HR policies are also great l, they offer Work From Home policy.

The place has a very professional corporate culture.",6 years ago,Pune,Cisco
"{'name': 'Shounak Deshpande', 'link': 'https://www.google.com/maps/contrib/114991799496423821886?hl=en-US', 'contributor_id': '114991799496423821886', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWzw0Qtl4szi4kRVNM0b8a0-uTN6nZfHKlNTItVmK1UUsqOXSLJ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 68, 'photos': 2}",5,Good service and helpful staff. The building is located in ambient surroundings. Had a good experience.,2 years ago,Pune,Cisco
"{'name': 'Viren Dige', 'link': 'https://www.google.com/maps/contrib/108009952648803827731?hl=en-US', 'contributor_id': '108009952648803827731', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV4QPXTE30OeDlQpfTBpXMGHshbvc1JLSb6MmnqyOv97SzoePFP=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 56, 'photos': 30}",4,"Great company to work. This office location had decent amenities, with variety of indoor games, sufficient for the staff count this location hosts.",6 years ago,Pune,Cisco
