username,rating,text,date,company,city
"{'name': 'RAVI MEVADA', 'link': 'https://www.google.com/maps/contrib/104914599700818197232?hl=en-US', 'contributor_id': '104914599700818197232', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWJG82vyPfleK7QB7CTPRX1tmyEJNkFdWDtrzFyTHeFOeAvwy_miQ=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 231, 'photos': 1613}",5,It's Wipro ahmedabad office.,2 years ago,Wipro,Ahemdabad
"{'name': 'PANKAJ BHARTI', 'link': 'https://www.google.com/maps/contrib/100206487169346303007?hl=en-US', 'contributor_id': '100206487169346303007', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVsm8k8QGVcBiYQk7lFnIw_VD1zvZK4ZCHCeUlNk80nYMH0gYjC=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 107, 'photos': 93}",4,Very Small branch,6 years ago,Wipro,Ahemdabad
"{'name': 'Vikas Pandya', 'link': 'https://www.google.com/maps/contrib/105403473618626562357?hl=en-US', 'contributor_id': '105403473618626562357', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUlvt0YVtd12ZAqBjMt0LPCw3AfEBwdHLUwz5vIvJ4Js2KHJTz1=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 48, 'photos': 26}",5,"I recommended hcl tech anand for pte exam. It's wonderful, polite and helpful staff. One thing wondering that exam room full of sound proof and proper partition between every exam candidates.",a year ago,HCL,Ahemdabad
"{'name': 'ved patel', 'link': 'https://www.google.com/maps/contrib/113624606485185018493?hl=en-US', 'contributor_id': '113624606485185018493', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVAc3UP22z09cGsTQKfqUhojKL2ItbDEQXC8Ko8onEtbEa4Fs4=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 6, 'photos': 0}",3,Anyone work here now?,11 months ago,HCL,Ahemdabad
"{'name': 'Siddhant Patel', 'link': 'https://www.google.com/maps/contrib/115017518186421710483?hl=en-US', 'contributor_id': '115017518186421710483', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjULwhLfbvvThH_Q7_8p7N1XHGlLDMZnGu1k3Qh9TmozWQKrxyw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 53, 'photos': 3}",1,Wrong interpretation on maps. It's too difficult to find its proper place.,6 years ago,HCL,Ahemdabad
"{'name': 'Murari Pal', 'link': 'https://www.google.com/maps/contrib/104943850200240588316?hl=en-US', 'contributor_id': '104943850200240588316', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXjIIsPQahNKlV-1zLN0VZDhRrKpQxFXjP1SpNRl-pyJedfQtacOg=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 2}",1,This is very bad company for interview.. never go for interview...,6 years ago,HCL,Ahemdabad
"{'name': 'Jitesh Keswani', 'link': 'https://www.google.com/maps/contrib/115807190765067727798?hl=en-US', 'contributor_id': '115807190765067727798', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVEej_HuE24qp_9KtNfDjSXzAoiEG61u8E2oIVqUK_Ee22HDi_N=s120-c-rp-mo-br100', 'reviews': 22, 'photos': 1}",5,Awesome work place..,7 years ago,HCL,Ahemdabad
"{'name': 'Aayushi nnn', 'link': 'https://www.google.com/maps/contrib/101708446126271613524?hl=en-US', 'contributor_id': '101708446126271613524', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIxZiliUPI2ZG7yA_Y0HLPJEIcWWxDduSMZnXnxj-TcPvavwg=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5,I want hr number please,4 years ago,HCL,Ahemdabad
"{'name': 'Kids for Children', 'link': 'https://www.google.com/maps/contrib/110516868654907503458?hl=en-US', 'contributor_id': '110516868654907503458', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVd9wc4xyP_-D7z84-7Ppdpj1_LL-ThgF-henEWCiBWaWgww1E=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 50, 'photos': 6}",5,Nice work,6 years ago,HCL,Ahemdabad
"{'name': 'urvesh patel', 'link': 'https://www.google.com/maps/contrib/100539438688309336019?hl=en-US', 'contributor_id': '100539438688309336019', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLsLOB56ilbufGWGHRYBaGqSvq3uQE-clJ01a6lsNfkOpPJFw=s120-c-rp-mo-br100', 'reviews': 0, 'photos': 0}",5,,3 years ago,HCL,Ahemdabad
