username,rating,text,date,company,city
"{'name': 'Rahul Yadav', 'link': 'https://www.google.com/maps/contrib/108832833385634689986?hl=en-US', 'contributor_id': '108832833385634689986', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWTTQNFn-sEsT2111tN9KAq-PQgTDaFrcgSETSY0cmDkzCS1fSQ=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 101, 'photos': 45}",1,Don’t go by the looks of the company the people work in taskus are very egotistical and stubborn they will completely forgot you dedication and hard work over the personal grudges you may be deceived by the environment of the company but trust me its the worst place to work they done even provide the travel allowance in your pay even if you think you will be paid gor working extra hours but its a lie they just told you to raise the ticket for the less salary but no one is looking after those ticket whenever the company thinks that we have to downsize the employees they will take your small tiny mistake and terminate even if you were working there for ages 🤮🤮🤮,3 weeks ago,TaskUs,Delhi
"{'name': 'Diwakar Mishra', 'link': 'https://www.google.com/maps/contrib/114100795065027435753?hl=en-US', 'contributor_id': '114100795065027435753', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocK_1GVPVFvxvPzgmhVYXBGxNz5Rh_KYi6oG2r-WE1yYOhDO5A=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 3, 'photos': 0}",1,"Only provide drop cab and 2000 travel sodexo card.
No incentive in any process.
Not a good place for female employees. Training team is pathetic",4 months ago,TaskUs,Delhi
"{'name': 'Prateek Kaushal', 'link': 'https://www.google.com/maps/contrib/100206860895456183443?hl=en-US', 'contributor_id': '100206860895456183443', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKsRCkgss4WnIX3mcH-3-ozFNIHGIIscmPzroDzR66csPv1_A=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 11, 'photos': 0}",5,Awesome work place,a month ago,TaskUs,Delhi
"{'name': 'Aniruddha kundu', 'link': 'https://www.google.com/maps/contrib/114555037946036758220?hl=en-US', 'contributor_id': '114555037946036758220', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWwM2UkU_YrWe8ByDu1yDZz4mraiWBPibEeN_XTcJg4HARtldRx=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 63, 'photos': 4}",4,The aura is awesome,2 months ago,TaskUs,Delhi
"{'name': 'Ganesh Rawat', 'link': 'https://www.google.com/maps/contrib/101739323949374130779?hl=en-US', 'contributor_id': '101739323949374130779', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUUwO-zR_MvDzbqovAE9Q0-PvWHw9Zeyz4L60qRPfYT-xMMenyU=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 54, 'photos': 4}",5,Nice infra,2 months ago,TaskUs,Delhi
"{'name': 'Phani A V', 'link': 'https://www.google.com/maps/contrib/113384270594061650049?hl=en-US', 'contributor_id': '113384270594061650049', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW2ToHkzKwMVRGWFhZa0GIrZHQDvEJTq6OlQVOC2QGpWWrNYjYiUg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 27, 'photos': 3}",1,"Worst company and the worst customer service.
I have used MMT 10 years ago, and they used to provide fine service.

Recently, I applied for UAE Visa through their service.
I was updated at that time, that I will get to know the starting my visa in 5 working days.
But it has been more than 10 working days, and they haven't updated the status yet

Worst, they are totally unreachable , via customer care number where you are put on hold for hours together. I literally had to disconnect the call after 2 hrs of wait.
They don't have any means or details whatsoever to reach them - no email, no chat support and no office or physical address where they can be reached.

Absolutely a sham company now.

Don't ever use their services for anything.
I'm going to remove them from my list of service providers, forget being a trusted one.",a month ago,MakeMyTrip,Delhi
"{'name': 'Pratishtha Mishra', 'link': 'https://www.google.com/maps/contrib/111154819539415335948?hl=en-US', 'contributor_id': '111154819539415335948', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXjukIHY2ZLrGXJbnxVXuANkYjFBJfzxno5ABKHwIr1LgvzJDRc=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 0}",1,"Such a shame and disgusting experience with @makemytrip

I booked bus tickets from Anand Vihar to Sitapur from makemy trip as Diwali was on 30th October and I got a bus at 10:15 pm after several tries. I also got messages for my pass confirmation so I reached the bus stand. After reaching there, I tried to call them (given numbers) for 1 hour but no one answered, out of safety concern I had to cancel my tickets because no one is there answer if bus will be late or what so ever. Or now when I am called him for refund (operator) Mr. Chandan is yelling at me “I will not give you any refund, go and take it from makemytrip” is this a way to talk to your customer, or your company are providing this service? I need refund!! @makemytrip",2 months ago,MakeMyTrip,Delhi
"{'name': 'Shreekanta Roychowdhury', 'link': 'https://www.google.com/maps/contrib/112824018180145692837?hl=en-US', 'contributor_id': '112824018180145692837', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIcDBZcCZmFvK4hzLxORdBvUwdpjQhpigPPp8z8_Py1utM0C4zf=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 23, 'photos': 1}",1,"Avoid Premium Packages with MMT – Disappointing Experience

I’d like to share my recent Andaman trip experience, booked through MMT with a premium package. We paid ₹31,000 per person for 3 travelers[excluding flight], including a child. The package promised private travel and cabs, which initially made us excited about a pleasant vacation.

However, as I write this review, I’ve realized the recurring cycle of disappointment with MMT:

Convincing Tactics: They first persuade customers to opt for a private, 4-star package.
Full Payment Requirement: Customers are forced to pay the full amount at least a month before the trip starts.
Subpar Services: Despite the premium promise, we were left with cheap services and accommodations that deviated from the voucher.
Lack of Support: No issues were addressed by the ground support team, tour manager, or MMT representatives, even after multiple escalations and SOS calls during the trip.
Post-trip Compensation: At the journey’s end, MMT offers a token apology, admitting they didn’t deliver the promised services.
As a Platinum member, I can attest that this cycle is a common experience for many MMT customers. I strongly recommend considering other travel agencies that offer far superior services at half the price.

MMT seems to lack control over their ground support, as everything is subcontracted—car rentals included—resulting in no single point of accountability.",4 weeks ago,MakeMyTrip,Delhi
"{'name': 'Ayush Singh Chauhan', 'link': 'https://www.google.com/maps/contrib/109346149815241088376?hl=en-US', 'contributor_id': '109346149815241088376', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocK4ukRTJctRNi6MZX6OdjWkWRnrb5TbUN4sG2ByBaFinXBJavLx=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 98, 'photos': 35}",1,"It was the worst experience ever, I was overcharged by the on ground team and even after paying more I was not provided the service as promised. Never going to book any thing from MakeMyTrip. Feeling cheated on my last holiday package to Manali. The tour manager, vendor and driver all are misguiding and unethically extracting money from tourists. Highly disappointed from the service of MMT. No customer support, no regulations for vendors only motive is- Cheat the customer/tourist.",2 weeks ago,MakeMyTrip,Delhi
"{'name': 'MOHIT ROY', 'link': 'https://www.google.com/maps/contrib/101154356958358258187?hl=en-US', 'contributor_id': '101154356958358258187', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKECchg16W_aZcP66BWq4X9NFP1HixRxBa5bwlFFpvZAoU5gw=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 3, 'photos': 0}",1,"Worst Experience from Make My Trip
I am writing to express my dissatisfaction with the service I have received regarding my flight booking (PNR No. A99QVJ) from Bangalore to Mumbai dated 6th April 2023 as the flight has been cancelled by the airline itself and not by the customer.

Despite several attempts to resolve this matter through your customer care line, I have yet to receive my refund. Each time I reach out, representatives provide me with various excuses and shifting deadlines, leaving me frustrated and disappointed. It is incredibly disappointing to witness such a lack of accountability and customer care from a reputable company like MakeMyTrip.

Worst Organisation no one bother to respond over email and taking ownership.",3 months ago,MakeMyTrip,Delhi
