username,rating,text,date,city,company
"{'name': 'JiLs Thomas', 'link': 'https://www.google.com/maps/contrib/118194827528425634301?hl=en-US', 'contributor_id': '118194827528425634301', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVC6sZLg_JzEkMt5DHcxYiVV73JLsMiX3Q3stVgYvB8gxnMgGotZQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 18, 'photos': 76}",5,"Excellent office atmosphere with great infrastructure 🙂
Employee friendly management and not too much work pressure.
Enough parking area for employees, also providing games room and pantry area without swiping out !!",5 years ago,Kochi,Speridian Technologies
"{'name': 'Sneha S', 'link': 'https://www.google.com/maps/contrib/107976691354838445896?hl=en-US', 'contributor_id': '107976691354838445896', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV1mhAuhyeTDXeq0AqycOTaX3IbHk-s95Yqe9nB5etEjx8pdXqf=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,Very bad experience from the staff. Insulting behaviour. Extremely rude towards the interview candidates,a year ago,Kochi,Speridian Technologies
"{'name': 'DK', 'link': 'https://www.google.com/maps/contrib/110406973085267250832?hl=en-US', 'contributor_id': '110406973085267250832', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUXQtU8tOv9lYba3iDRMVUm1CpR0wD5pnh-zJbul91GFLYIw3y5=s120-c-rp-mo-br100', 'reviews': 13, 'photos': 23}",1,"Company is really Dissatisfied

- Worst interview process for experienced candidates.",2 years ago,Kochi,Speridian Technologies
"{'name': 'Muhammed Mishab', 'link': 'https://www.google.com/maps/contrib/115758960943725804878?hl=en-US', 'contributor_id': '115758960943725804878', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVrFReXtEWdOEm8juiJCee258FQIWvcOpHxcm7dTgKDbBykjlgyLA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 39, 'photos': 174}",1,Good company but Lack of good staff,a year ago,Kochi,Speridian Technologies
"{'name': 'Siji Xavier', 'link': 'https://www.google.com/maps/contrib/113439736912021916004?hl=en-US', 'contributor_id': '113439736912021916004', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJ7b5wf-NKMiWeZk_IJHBf_Na-bpG9lXwKg3kaA8IZ-iR75QA=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",1,Bad experience from staffs.,6 months ago,Kochi,Speridian Technologies
"{'name': 'Krishnapriya K Nair', 'link': 'https://www.google.com/maps/contrib/116896405634609818294?hl=en-US', 'contributor_id': '116896405634609818294', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWAv1N9DPkyNKnVRUlC1xaPdFNBv02ytXoRvBbixRcs7_m9fvCx=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 6, 'photos': 0}",3,Good for  freshers .,a year ago,Kochi,Speridian Technologies
"{'name': 'Bhavin Shah', 'link': 'https://www.google.com/maps/contrib/115862488986874946132?hl=en-US', 'contributor_id': '115862488986874946132', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKdeBi_FRf3yykg_d-zmS8EfK_NC06997M7ejoqVD5QdkqKd5s=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5,"""We have been using Webking Solutions' G Suite admin account management services, and their expertise has been exceptional. They are reliable, professional, and quick to resolve any issues. Highly recommend them as a Google Workspace Authorized Partner!""",a week ago,Kochi,SAP
"{'name': 'Growup Business Solution', 'link': 'https://www.google.com/maps/contrib/118106299588710943308?hl=en-US', 'contributor_id': '118106299588710943308', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIHXbRm46BOmyNYBnSTV0MBjcJG0MOa8XmXGiNFLqQvM8FWx5s=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 0}",5,"I recently switched to Webking Solutions for my email solutions, and I couldn't be happier! From the start, their team was incredibly professional and responsive, making the setup process seamless.
Customer support is outstanding! They’re available 24/7 and always provide quick, helpful solutions to any issues I’ve faced.
If you’re looking for a reliable and efficient email solution, I highly recommend Webking Solutions. It has truly transformed the way we communicate and manage our emails!
Thank you, Webking Solutions, for such a fantastic service!",4 months ago,Kochi,SAP
"{'name': 'Ababil Boopathy', 'link': 'https://www.google.com/maps/contrib/116927603296597270710?hl=en-US', 'contributor_id': '116927603296597270710', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVOBfnkVloPqnA3y8Ql5sbTsGq0cKdt280Q8ylBew0jcLgr9W4s=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5,"I wanted to extend my sincere thanks for the swift and effective resolution of our recent email delivery issue. Your prompt and professional support was instrumental in addressing the problem and restoring our communication capabilities.

We truly appreciate your dedication and responsiveness in handling this matter. Your assistance has significantly contributed to minimizing our operational disruptions, and we are grateful for your help.",5 months ago,Kochi,SAP
"{'name': 'Ashish Rajbhar', 'link': 'https://www.google.com/maps/contrib/109357254158172701219?hl=en-US', 'contributor_id': '109357254158172701219', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJkgDuYEmoewESs0S1qUnuOGSxa2_Gdl7gU3I7VeNknwD_QcA=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",5,"""Webking Solutions has been an absolute pleasure to work with! The team is incredibly supportive and always responds promptly to any queries. Their professionalism shines through in every interaction, making the entire process smooth and efficient.
Highly recommend their services!""",3 months ago,Kochi,SAP
