username,rating,text,date,company,city
"{'name': 'Abhishek Mathur', 'link': 'https://www.google.com/maps/contrib/105154721513794360407?hl=en-US', 'contributor_id': '105154721513794360407', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWHNDEUWvpwYHznMLnTb-lwqUsHdDYizjgqqUYGKUaWQkT-bcDO=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 8, 'photos': 0}",5,I’ve been working here for the last 8 years and this is an awesome company for those who want to make a career. Ample opportunities and variety of roles combined with the focus of growing employees from within makes it a really employee oriented organization!,6 years ago,Infosys,Delhi
"{'name': 'Nidhi Gupta', 'link': 'https://www.google.com/maps/contrib/112265015666328501236?hl=en-US', 'contributor_id': '112265015666328501236', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUoAP0ex-KKObYUb-759ICwqQBs5IfMRqgQvuRc8YMkeqKUcfG8=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 85, 'photos': 66}",5,Its a good place to work. Visited twice by car. Located on 7th floor has a small food outlet and nice staff.,2 years ago,Infosys,Delhi
"{'name': 'Rakesh Kumar', 'link': 'https://www.google.com/maps/contrib/114662103885038034962?hl=en-US', 'contributor_id': '114662103885038034962', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWnE3y4HVCGouB8kIfoROhZgloSyC6aLWhFhQNYD4wwTHAbpR0alA=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 190, 'photos': 150}",5,always remember to send email before meeting. without mail they will not allow to go inside. you have to stand at reception they will not even offer you seat. this don't like. without appointment and prior mail you are not welcome here.,7 years ago,Infosys,Delhi
"{'name': 'Arpit Chaurasia', 'link': 'https://www.google.com/maps/contrib/103165801112131837760?hl=en-US', 'contributor_id': '103165801112131837760', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWlmgIm6e8rgUcQWOeVEEk6xvPPOdb6jJMouRN1POoZETCUJsbZug=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 7, 'photos': 0}",3,"If you want to go any laptop submitted things then you go in tikri sector 48 location.
Other vise you ask your manager because in DLF office is available only bpm",2 years ago,Infosys,Delhi
"{'name': 'Rohit Sotra', 'link': 'https://www.google.com/maps/contrib/115735883083612421054?hl=en-US', 'contributor_id': '115735883083612421054', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXicnqusP9iQ9HW8l24Al1eK8yPf2JJbF3402WWrhzwZgRNbpgaxw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 34, 'photos': 77}",4,Good company to work but this office is in isolated place with no metro connectivity.,5 months ago,Wipro,Delhi
"{'name': 'Aakanksha Saini', 'link': 'https://www.google.com/maps/contrib/100373897037437603971?hl=en-US', 'contributor_id': '100373897037437603971', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXGS2FLm14L1H_7sSfODGCnJp4ttM3b4Z2vyoBU_XoPz_dETzjG=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",5,Good company and good behaviour all company member 👍,a month ago,Wipro,Delhi
"{'name': 'Resham Das', 'link': 'https://www.google.com/maps/contrib/105356200382830891001?hl=en-US', 'contributor_id': '105356200382830891001', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVd4iFb9YTiYgrrWkCYQJ8FxC88lfwrNu1B5kfg8Yvqd_Y6j3e3Bg=s120-c-rp-mo-ba8-br100', 'local_guide': True, 'reviews': 920, 'photos': 11512}",3,"The Wipro GDC, or the Gurgaon Development Center is a 7-storeyed building, but apparently smaller in term of land area it covers, located at Udyog Vihar, near the Gurgaon-Delhi border close to Delhi-Gurgaon Expressway to the right, and Kapashera Border to the left. The office is situated inside a puzzle of alleys at Udyog Vihar. This office has its cafeteria at the top floor.",3 years ago,Wipro,Delhi
"{'name': 'Kai For Everyone', 'link': 'https://www.google.com/maps/contrib/111908009926978625222?hl=en-US', 'contributor_id': '111908009926978625222', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVxexQsmfGuhDj7Ebs2FxFTj4lpno_cYipO-kqXCV-ienII8F-3=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 13, 'photos': 1}",5,"It was really great working here, the office is amazing, facilities are great, but the coffee machines need a repair. Cafetaria is amazing, staff is good, gym trainer is good, managers are great. It was fun working here.",a year ago,Wipro,Delhi
"{'name': 'Lucky Kumar Sultana', 'link': 'https://www.google.com/maps/contrib/116557035995275301173?hl=en-US', 'contributor_id': '116557035995275301173', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVINUL827D_cY9MEfbi5jn7eFr5wzef-zf_raYInE4UVNu0WAZgig=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 43, 'photos': 38}",5,"The office is very good and managed very well.

2 Floors underground parking
3 Elevators
Gym
2 Canteens
Total 6 Floors

ID card is needed for entry.
A gate pass is needed for parking.",a year ago,Wipro,Delhi
"{'name': 'Yamini Malik', 'link': 'https://www.google.com/maps/contrib/108076620152032232553?hl=en-US', 'contributor_id': '108076620152032232553', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVAqMxKJ_V39WisZqfgXku0CNbCfhw1FQzXGalbGwtKGP-j_PN2=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 21, 'photos': 5}",1,"Fraud company selling faulty products.
No one picks calls or reverts on email. Will be filing a case in court against them.",9 months ago,Wipro,Delhi
"{'name': 'Giju Nair', 'link': 'https://www.google.com/maps/contrib/106266631203050247165?hl=en-US', 'contributor_id': '106266631203050247165', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWmq3PL3zSqWKrtbFNaqpMxUS7XxvOogPJRT_M5Bsq1t7hLRavu=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 432, 'photos': 1393}",4,"Wipro's development centre in Gurgaon. Recently removated and really good facilities, such as underground parking, smart interaction zones, large meeting rooms, innovation labs and modern workplace culture. Many stellar projects have been delivered from this location. Its situated at Udyog Vihar and might be a tad bit difficult to find for the first time. However following Google map directions is the recommended approach.",a year ago,Wipro,Delhi
"{'name': 'SUMIT AHLAWAT', 'link': 'https://www.google.com/maps/contrib/117048764608253362559?hl=en-US', 'contributor_id': '117048764608253362559', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIESCS12cf5lRtZFdy0NPHBIwjGMjHztG28t12aw6OR7mbTQ80=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 230, 'photos': 48}",2,Interview process is okay. Waited for more than 2 hours of scheduled time. Then the HR called and provided one room to me. The other panel called me over my phone and taken technical interview. The process is okay but not given any feedback. Consultant people reverted that they will share the feedback in next 2 days but no response came from their end.,5 years ago,Wipro,Delhi
"{'name': 'Badal Bittu', 'link': 'https://www.google.com/maps/contrib/117162669624846046034?hl=en-US', 'contributor_id': '117162669624846046034', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWMA-maHCxwlh7Z8S8tm9nGm-mpZ5OF9ypum7wydQFGItf4ozsD=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 0}",5,hi sir i am Niranjan kumar i want job in hcl,7 years ago,HCL,Delhi
"{'name': 'Ankit Anand', 'link': 'https://www.google.com/maps/contrib/112291592716428480352?hl=en-US', 'contributor_id': '112291592716428480352', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLmmYSHcWpJZ3X_qGdl-hFDcO4ylScpK_yTa1jp3zlBAOnaSw=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 41, 'photos': 0}",5,Awesome work culture,6 years ago,HCL,Delhi
"{'name': 'Narayan Karn', 'link': 'https://www.google.com/maps/contrib/112254036621853012842?hl=en-US', 'contributor_id': '112254036621853012842', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW382UoBs3yiF4frbqhHDDkSeBvovLlWv3rCO2Z5F_uplVE_u4v=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 8, 'photos': 0}",5,I want to job in HCl ..,7 years ago,HCL,Delhi
"{'name': 'karan bhatia', 'link': 'https://www.google.com/maps/contrib/108690143823541220088?hl=en-US', 'contributor_id': '108690143823541220088', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXXUJuOwFzk5TrhacYECY-ZjEDUPr3CQxEfWWJgBR70Itk9_7w=s120-c-rp-mo-ba7-br100', 'local_guide': True, 'reviews': 1004, 'photos': 203}",4,Excellent 👍👍👍👌,a year ago,HCL,Delhi
"{'name': 'Satwant Kaur', 'link': 'https://www.google.com/maps/contrib/116816697178236345837?hl=en-US', 'contributor_id': '116816697178236345837', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIt4cLHviI5bpKVQ-vCEzrMZKJY0pB2MF7Q6l4KfUFJxkYOXg=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 0}",3,,10 months ago,HCL,Delhi
"{'name': 'Ahuja Group', 'link': 'https://www.google.com/maps/contrib/102397131895880435297?hl=en-US', 'contributor_id': '102397131895880435297', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKeN7999lX-GvLmqn4iLAsmKEe0UHdTmvL7ygBmLs364yR_XQ=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",5,,2 years ago,HCL,Delhi
"{'name': 'bibhay meditation channel', 'link': 'https://www.google.com/maps/contrib/110949219109322804262?hl=en-US', 'contributor_id': '110949219109322804262', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXFqVESeupD-k6kwtVdG9IUxv5f1poL0Tgd0BXrYL0fKK-BxNg=s120-c-rp-mo-br100', 'reviews': 0, 'photos': 0}",5,,2 years ago,HCL,Delhi
"{'name': 'Deepak maurya', 'link': 'https://www.google.com/maps/contrib/115968736161741481203?hl=en-US', 'contributor_id': '115968736161741481203', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVqawJSdBPnd2U5_ewrlcIp4tyAnFS9A2HYh5UzOx2oDQTxKt1m6A=s120-c-rp-mo-br100', 'reviews': 0, 'photos': 1}",5,,3 years ago,HCL,Delhi
"{'name': 'BABLU RAJ', 'link': 'https://www.google.com/maps/contrib/104191462617629123746?hl=en-US', 'contributor_id': '104191462617629123746', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWVT85XJ-xDFbxnNFO75wQ49aUQu7MqtgDSv8hTRUTKVk0r5_Ek=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 5}",5,Recently I have joined the company. As I have analyse  every thing is fine as well as campus and people also.,3 weeks ago,Tech Mahindra,Delhi
