username,rating,text,date,city,company
"{'name': 'findurself (Vijju)', 'link': 'https://www.google.com/maps/contrib/115644377130665055793?hl=en-US', 'contributor_id': '115644377130665055793', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWUnbc5_8J4KfbU-97ubjOfWj7Kk5C6KZLfECoTCse4CsW1h_xhOQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 46, 'photos': 42}",4,"It's a good company if you compare it with legacy services companies like tcs , Wipro , infy etc . It has good clients to work with mostly big product based companies. It has a good health insurance policy . During the bench period they won't bother for up to 2 months . The only disadvantage is the leaves . Casual and sick combined are 12 per year which is very less compared to any other company. There would be plus and minus and sometimes it might not work for you . But overall it is a good company.",3 months ago,Hyderabad,EPAM Systems
"{'name': 'Suresh Reddy', 'link': 'https://www.google.com/maps/contrib/105958035200003680242?hl=en-US', 'contributor_id': '105958035200003680242', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXBAj5C-OEvMaVUJrZMWyRKOuMSe_192uuay66jZzDOV0Dkwa4O=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 19, 'photos': 13}",5,Very good company to work for. Hybrid model is flexible (depending on the project). No micro management. Lot of scope to improve technical skills.,6 months ago,Hyderabad,EPAM Systems
"{'name': 'Anonymous Illuminati', 'link': 'https://www.google.com/maps/contrib/107752200775937131505?hl=en-US', 'contributor_id': '107752200775937131505', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocI2vWEQHH4r5Bc62S0smhpnZy2vW-8yIBmtgHgMxjg4Ga91lA=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,"i got an interview call from the HR named Anupama. During the first interview, the interviewer was asking a completely different set of questions from my skillsets! They have no clue on the JD vs Skillsets required - It shows how disorganized the organization is.

After a week, I got a call from the HR again 'rearranging' the interview. The interviewer was asking meaning less questions on Supply Chain, Procurement etc. Why would you waste time asking some MBA/Academic questions to  mid senior level candidate ? I understand the basics are important but this was sheer waste of time. Is my experience important or some textbook knowledge?

I did a background on this organization. Most of the employees are from Russia, Ukraine, Georgia etc. They have a use and throw policy  - Once the project is over, you will be terminated. (Unstable career path)  And in the era when organizations are compelling employees to work from office, they are only offering remote, cheap work from home jobs.  I got rejected but I would not have taken the job anyways.

Please check with the Linkedin Epam employees - I have also read that they 'make' you write good reviews online while joining.",6 months ago,Hyderabad,EPAM Systems
"{'name': 'Shujath Alam', 'link': 'https://www.google.com/maps/contrib/111603442199656025226?hl=en-US', 'contributor_id': '111603442199656025226', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWTRec7mXG2iUj_Gb8DwPrpENqqD6Y7m9ZaVGogQ1UCmw6pIexNKQ=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 108, 'photos': 205}",4,"Epam moved to this location (Salarpuriya Sattva). Its an awesome office place, use of natural lighting, eco friendly, very spacious, lots of breakout areas, meeting rooms, sensor conrolled lights and AC.",6 years ago,Hyderabad,EPAM Systems
"{'name': 'Triveni Todkar', 'link': 'https://www.google.com/maps/contrib/103762006119896526839?hl=en-US', 'contributor_id': '103762006119896526839', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocItEBkEXt3riI7piG6g2YU_ndGKOHFmHr7WS8AKjwU2z-JKNw=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 2, 'photos': 0}",1,"I worked here almost 2 years and I feel that karthik gandhi is one of the worst DM, he don't know how to talk with employee, he should have to learn all this. Epam please take it seriously.

Epam needs to tale care of all this type of DM.
Otherwise employee will not be a part of the best company.
By the way company policies are very very good, I feel that.",6 months ago,Hyderabad,EPAM Systems
"{'name': 'Dattaraj Bhalkikar', 'link': 'https://www.google.com/maps/contrib/116760059326887597402?hl=en-US', 'contributor_id': '116760059326887597402', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW4PU8CskbX6Rx2tK--Gr4B3Y4Iu0KNTgMO6qXq1asPt7CDmq6n=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 294, 'photos': 77}",5,Great Place Entry and Exit Little Curb Some for New Visitors but Great System and Guidance,a year ago,Hyderabad,EPAM Systems
"{'name': 'ADITHYA AMARA', 'link': 'https://www.google.com/maps/contrib/100349971113503567596?hl=en-US', 'contributor_id': '100349971113503567596', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXInJ0hzgkKU2-qBpSCxYastuWrcwVRuYKDLO03tEbed8T0oqDm0w=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 108, 'photos': 354}",5,"Nice office environment, desk setup. Free lunch, Snacks for all employees.",4 months ago,Hyderabad,Blue Yonder
"{'name': 'prasad karri', 'link': 'https://www.google.com/maps/contrib/102101485665946693214?hl=en-US', 'contributor_id': '102101485665946693214', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWORaMxpVYExIPMukVBwIg8dSxWLSJWqH50_K8JMKPYu1OXTTAa=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 5}",5,Best product based company with awesome interior.,11 months ago,Hyderabad,Blue Yonder
"{'name': 'Raja Yenumula', 'link': 'https://www.google.com/maps/contrib/115614900581417113590?hl=en-US', 'contributor_id': '115614900581417113590', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV7p1z2kZ5SVNKC1_193Z2NMwEZPKr1yp5IzEEHwq2V8jrjbjI=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 9, 'photos': 1}",5,"Good placce to work, Very knowledgeable persons around, Good ambience.",2 months ago,Hyderabad,Blue Yonder
"{'name': 'Amit Kumar', 'link': 'https://www.google.com/maps/contrib/116714656247244932930?hl=en-US', 'contributor_id': '116714656247244932930', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLOJXNBsGIPUncTgGqB9j5JzGUjuwdQJEVJEaKtXqv6hM-kkg=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",1,Worst interview process and irresponsible HR team.,2 weeks ago,Hyderabad,Blue Yonder
"{'name': 'srikanth dodla', 'link': 'https://www.google.com/maps/contrib/117825664577353884998?hl=en-US', 'contributor_id': '117825664577353884998', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW3MiWMNeUtkGhE2iQ5A-lwPf0MORkQWXRj776_u6hzBUU2Jw5P=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 23, 'photos': 0}",5,Wonderful place to work in Supply Chain domain. It is a product development company with great culture & I would strongly recommend people to consider this company when you get job offer. It depends if a person loves to join Supply Chain domain & has passion to learn and develop the core knowledge in this area.,5 years ago,Hyderabad,Blue Yonder
